Model,accuracy,precision,recall,f1_score,Training_Time
SVM_Linear,0.7771317829457365,0.8207547169811321,0.6932270916334662,0.7516198704103672,13.674671173095703
Logistic_Regression,0.7693798449612403,0.8235294117647058,0.6693227091633466,0.7384615384615385,0.05669403076171875
Random_Forest,0.7538759689922481,0.7649572649572649,0.7131474103585658,0.7381443298969073,2.9225120544433594
SVM_RBF,0.7558139534883721,0.8205128205128205,0.6374501992031872,0.7174887892376681,17.482757806777954
Neural_Network,0.7248062015503876,0.7261410788381742,0.6972111553784861,0.7113821138211383,20.193905115127563
XGBoost,0.7151162790697675,0.7241379310344828,0.6693227091633466,0.6956521739130435,4.4939751625061035
